,username,comments,user_channelid,posted_at,updated_at,likes,replies,reply
81,finance,i love that you make these videos on technologies with so little coverage. i have been using julia on and off for a few years and i love the language.,UCcT3I0O8BuJk5Sdk8CBNMsQ,2022-05-19T22:31:05Z,2022-05-19T22:31:05Z,0,0,
82,Evercreeper,For a wacky wednesday video you should do LuaU which is roblox’s branch of Lua. Very intrigued about the differences in computing,UCLeiehbZlqHjhVmfQPfFqCA,2022-05-19T22:28:35Z,2022-05-19T22:28:35Z,0,0,
83,P S,"Poor man&#39;s Swift (just use it; and as a bonus you can program you next iPadOS calculator and have waaay better performance if you into that). With this it&#39;s no community, subpar docs, no big brother to push it. It&#39;s Dylan all over again - dead on arrival.",UCMfcoaTvX0OgmrSHq16eOiw,2022-05-19T22:19:15Z,2022-05-19T22:19:15Z,0,0,
84,Rafael Silveira,Suggestion: make a video about Web Hooks,UCVcRGYuD6rn_NHHYSg5niiw,2022-05-19T22:17:18Z,2022-05-19T22:17:18Z,0,0,
85,Pro poop,"why didnt you use charmander at <a href=""https://www.youtube.com/watch?v=JYs_94znYy0&amp;t=0m50s"">0:50</a>",UCm5uf5rzHRlhXIch6ggNH6w,2022-05-19T22:12:25Z,2022-05-19T22:12:25Z,0,0,
86,Steve,Fortran time 🍕,UC2YN28tIXDBiHX357uBJxVA,2022-05-19T22:11:13Z,2022-05-19T22:11:13Z,0,0,
87,Rubic IQ,Bro please vlang in 100 seconds,UCvUoq3flei0yCcXYVr1QiBg,2022-05-19T22:10:45Z,2022-05-19T22:10:45Z,0,0,
88,Jamie 🏳️‍🌈,"yes, you finally got to Julia (best language) :D",UCMpKDqI74JPIxnQ_pK44TBQ,2022-05-19T22:10:09Z,2022-05-19T22:10:09Z,1,0,
89,Hojin Cho,"You forgot one important aspect of Julia: index starts at 1, not 0.",UCv666heqDYvdCWGcE3xCTLQ,2022-05-19T22:08:01Z,2022-05-19T22:08:01Z,2,0,
90,Jan De Kock,"Because of the multiple dispatch, Julia has built-in support for solving the Expression Problem. Which is really neat!",UCxx0WOddyJ-CQY1q0AtSiOg,2022-05-19T22:03:26Z,2022-05-19T22:03:26Z,0,0,
91,BHD,Auto hot key in 100 seconds,UCtzLTx_zFLY7wH_ZxJAl3VA,2022-05-19T22:02:34Z,2022-05-19T22:02:34Z,0,0,
92,spazioLVGA,"Julia is an amazing language. Fast yet concise code, but the true power lies in composability in my opinion. The way you can mix together custom types from many different libraries and make them smoothly work together is almost like magic. The package manager is also &lt;3. <br><br>The problem I see at the moment is that the ecosystem needs to mature. Lots of projects need to converge into few reliable and well estabished libraries, so new users will find their way more easily. But we&#39;re getting there!",UCAp7S0AK-5EzmcUAt768HkQ,2022-05-19T21:57:16Z,2022-05-19T22:03:58Z,13,0,
93,Matias Borghi,Finally! Julia rocks,UC-B8A2QLkQeljnq84qrfT3w,2022-05-19T21:55:58Z,2022-05-19T21:55:58Z,0,0,
94,Evan Barnes,"I&#39;ve known about Julia for a few years and find it super intriguing, but I&#39;m just a hobbyist and don&#39;t have the use case for learning Julia yet. Same with Rust. Anyone out there using Julia (or Rust) as a hobbyist? If so, what for?",UCQVHBZdxYFwgWh6hsUTZKGA,2022-05-19T21:50:12Z,2022-05-19T21:50:12Z,2,0,
95,1Dr490n,"I tried it for like a day, if I had known all of this I would&#39;ve sticked longer to it",UC_Cld3LPa228-deWQjJKRZw,2022-05-19T21:47:10Z,2022-05-19T21:47:10Z,0,0,
96,Takumi Fujiwara,Stop inventing things to learn or i swear i&#39;ll shoot someone.,UC-pUEXOS-aCiVkoq1QsifVA,2022-05-19T21:43:12Z,2022-05-19T21:43:12Z,0,0,
97,Phan Minh,"<a href=""https://www.youtube.com/watch?v=JYs_94znYy0&amp;t=1m02s"">1:02</a> He was haunted by JS too much that he misstyped the file ending",UCvhMyLNH5kOD6Cjq1rGWqAg,2022-05-19T21:41:55Z,2022-05-19T21:41:55Z,0,0,
98,Thomas Davis,I was really hoping you’d cover Julia. I really like it and hope that more people end up using it.,UCYMv1fteFxVAg2dqurZuBmg,2022-05-19T21:38:58Z,2022-05-19T21:38:58Z,2,0,
99,Siml,Indices start at 1 in julia 🙃,UCawPlSwlOkXyAovecELMpbQ,2022-05-19T21:31:54Z,2022-05-19T21:31:54Z,0,0,
100,Capuccino Pintucciono,I love how you just casually finish with &quot;can run on the GPU natively&quot; like that&#39;s not a big deal,UCgg3jKDmpvqCeK9sfjsht3w,2022-05-19T21:28:46Z,2022-05-19T21:28:46Z,16,0,
101,FaZekiller4507,"100 seconds of Julia sounds great, though I don’t know who Julia is.",UCSraCYrWQ-P-JWFlI7hiXXA,2022-05-19T21:27:48Z,2022-05-19T21:27:48Z,0,0,
102,Ari Sweedler,Dang! Julia seems sick,UCYrRcRhpmeDN049YBAUgaBg,2022-05-19T21:23:40Z,2022-05-19T21:23:40Z,0,0,
103,Georges,scala in a 100 secs (or 10000 if possible) pleeeaaasee - just started a job at a company which uses it a ton and it&#39;s kicking my mutative OOP butt,UCrzB6NI-uHZ4VSG6qThn3GQ,2022-05-19T21:23:26Z,2022-05-19T21:23:26Z,0,0,
104,Félix A.G,👍,UCMsa3vpbs7Fyj2m1EtLCJUg,2022-05-19T21:21:08Z,2022-05-19T21:21:08Z,0,0,
105,D6Soldier,Julia reminds me a lot of scala.,UCjM6D8seOR5cdq-Nb8LCbGQ,2022-05-19T21:17:31Z,2022-05-19T21:17:31Z,0,0,
106,kalaMarko,"<a href=""https://www.youtube.com/watch?v=JYs_94znYy0&amp;t=0m52s"">0:52</a> missed opportunity to use charmander, unsubscribing",UCS8lSILw-s_RCaeRjuZTtww,2022-05-19T21:10:38Z,2022-05-19T21:10:38Z,0,0,
107,Nick Hella,"One function with multiple implementations.. if only there were a word for this.. <a href=""http://www.youtube.com/results?search_query=%23polymorphism"">#polymorphism</a> !",UC0S8gWSwUqEIulXg_JJ5Y9Q,2022-05-19T21:06:31Z,2022-05-19T21:06:31Z,0,0,
108,goosenp,I write a comment requesting this video on a previous one. Thank you so much Fireship! 🔥🔥🔥,UCD58ACqnonQ_bo-O5O4sLZQ,2022-05-19T21:04:40Z,2022-05-19T21:04:40Z,0,0,
109,Zander Zander,Gonna use Pokémon to map to types and use Pikachu for Char...,UCuVdBdNE1DNTDBHS-RMhGvg,2022-05-19T21:00:15Z,2022-05-19T21:00:15Z,1,0,
110,AllesMetAppelmoes,“Julia&#39;s arrays are indexed starting at 1”<br>🤯,UCyYT66wkZsck3cFKXlp5YaA,2022-05-19T21:00:09Z,2022-05-19T21:00:09Z,3,0,
111,Artemiy Solopov,"Wow, this is really interesting. I kinda looked past Julia when I first saw its announcement, but now I&#39;m interested as heck.<br>Could you make a similar video about Nim or D?",UCQkIkm3-tx_Z2vaHxBNfoxg,2022-05-19T20:57:53Z,2022-05-19T20:57:53Z,1,1,"I learned about Julia in 2012. Back then they had this claim that it was super fast and generic. I even saw their benchmark, but I never believed it. Wasn&#39;t until 2020 that I gave it a go. It&#39;s my main language now."
112,Cyber_Tutorials,"Look likes java, Python and bash",UCIpoQNXxVENPsI3TAiYpwLQ,2022-05-19T20:55:25Z,2022-05-19T20:55:25Z,0,0,
113,TheCommander27,Do Laravel next please,UChsiLuIxtFzzi-jVuFn-fZg,2022-05-19T20:54:33Z,2022-05-19T20:54:33Z,0,0,
114,Michael Dix,I like the Pokémon-Theme &lt;3,UCND03elfWslq0A3lJOuwDEw,2022-05-19T20:54:06Z,2022-05-19T20:54:06Z,0,0,
115,Buri8128,"Thankyou! Do some more about Julia. perhaps compare solution with R, Rust and Python.",UCTT9eP4Z1dSwiO1_MdQeFUA,2022-05-19T20:52:12Z,2022-05-19T20:52:12Z,1,0,
116,Darren Rahnemoon,I think I’m in love…,UC8covUqOrx1jdBoURuYNb6A,2022-05-19T20:51:15Z,2022-05-19T20:51:15Z,0,0,
117,Adam Henriksson,We are doing our thesis work on analyzing Julia and R right now. Crazy.,UCKini74YX4zBucDfWqIblsw,2022-05-19T20:51:13Z,2022-05-19T20:51:13Z,0,0,
118,Andrei Ciurea,"Please, can you make one about Salesforce?",UC0C_vZCDXbAcSNgR6eqm-Qg,2022-05-19T20:51:13Z,2022-05-19T20:51:13Z,0,0,
119,George,"I&#39;ve changed to Julia from Python early in my scientific career (differential equations, numerical modelling) and it has been the best decision in my life!",UCSYBSieDBTNnuT0ZyqsTeTg,2022-05-19T20:47:46Z,2022-05-19T20:47:46Z,9,1,Go on. Tell me more
120,Trent Tagestad,"Good morning, Julia!",UCWKyGFL1-LoErSfxeiQC-4Q,2022-05-19T20:45:50Z,2022-05-19T20:45:50Z,0,0,
121,Thor-x86,Julia Perez?,UCCMQysEKu5qc2wQmPCtFJkw,2022-05-19T20:42:58Z,2022-05-19T20:42:58Z,0,0,
122,Ayush Gupta,Where tf has this hidden gem been all this time!?!?,UCZfa5ULcYtKZQbB4-gie2QQ,2022-05-19T20:40:29Z,2022-05-19T20:40:29Z,0,0,
